Organizations,slogan,tech,topic,website,descripton,link,ideas
52 North Spatial Information Research GmbH,Innovative ideas & technologies in geoinformatics,"javascript, android, java, web services, ogc standards","citizen science, spatial information infrastructures, open standards, data analytics, Geoinformation",https://52north.org/ ,"Innovative ideas & technologies in geoinformatics 52°North is an open source initiative in the field of geoinformatics. Core topics of our activities are for example sensor web, web-based geoprocessing and earth observation.",https://52north.org/software/contribute/ ,https://52north.org/outreach-dissemination/google-summer-of-code/project-ideas/
AboutCode,"Scan code for origin, license and vulnerabilities","python, javascript, Django+PostgreSQL, C/Rust/Go","dependencies, vulnerabilities, SoftwareCompositionAnalysis, License, SBOM",https://aboutcode.org ,"AboutCode.org is a community of open source developers who are trying to make open source easier to use by providing open source tools to discover, identify and track open source components (aka. Software Composition Analysis – SCA). This includes tools, data and standards for code origin, FOSS licenses and security vulnerabilities.",https://github.com/aboutcode-org/aboutcode/wiki/GSOC-2025,https://github.com/aboutcode-org/aboutcode/wiki/GSOC-2025-Project-Ideas
Accord Project,Open source software for smart legal contracts,"python, javascript, json, react, artificial intelligence","natural language processing, data modeling, legal technology, contract management, document assembly",https://accordproject.org,"Accord Project champions the importance of contract text alongside computer-code when automating contracts. This is often referred to as Computable Contracts or Smart Legal Contracts. The Accord Project is a non-profit, collaborative, initiative developing an ecosystem and open source tools for computational contracts. The community includes participants from law firms, technology companies, universities, government and private individuals. Today, the community maintains a technology neutral foundation for smart legal contracts, based on the union of legal text with a machine readable data model, and machine executable logic. This definition of a smart legal contract is recognised across the industry, including by statutory and standards bodies. Accord Project is a top-level Linux Foundation project.",https://github.com/accordproject/techdocs/blob/master/CONTRIBUTING.md,https://github.com/accordproject/techdocs/wiki/Google-Summer-of-Code-2025-Ideas-List
AFLplusplus,State of the art fuzzing for better security,"llvm, rust, fuzzing, qemu","fuzzing, ci",https://aflplus.plus,"State of the art fuzzing for better security
We are dedicated to provide the most effective fuzzing frameworks. Our work includes AFL++, the most effective and flexible fuzzer, and libafl, a library to build your own fuzzer with the most modern techniques and technologies.",https://github.com/AFLplusplus/LibAFL/blob/main/CONTRIBUTING.md,https://github.com/AFLplusplus/LibAFL/issues/2992
Alaska,"Many Traditions, One Alaska","python, mysql, java, matlab, dicom","deep learning, neuroscience, radiology, heathcare, Polar Science",https://www.uaa.alaska.edu/research,"Many Traditions, One Alaska
Alaska Project Ideas are mentored by the researchers and collaborators of the University of Alaska and supported by other open-source entities in Alaska, such as Alaska Dev Alliance. We aim to represent the open-source ecosystem of the 49th state, Alaska. Anchorage, the largest city in Alaska, has a vibrant open-source community. Through this GSoC initiative, industrial experts who are part of the Alaska Developer Alliance and faculty and researchers from the University of Alaska Anchorage (UAA) and the University of Alaska Fairbanks (UAF) join hands to provide a perfect mentoring experience for interested contributors globally. We offer a glimpse of this northern state and its tech landscape to the Lower 48 and the outside world through this open-source remote summer coding program organized and funded by Google. Our projects focus on healthcare, climate science, polar science, and other research fields critical to the Circumpolar North and the rest of the world.",https://github.com/uaanchorage/GSoC/blob/main/CONTRIBUTOR-GUIDE.md,https://github.com/uaanchorage/GSoC
AnkiDroid,AnkiDroid makes remembering things easy,"android, rust, kotlin, mobile","education, mobile, android, user generated content, Flashcards",https://github.com/ankidroid/Anki-Android,"AnkiDroid makes remembering things easy
Memorize anything with AnkiDroid!

AnkiDroid lets you learn flashcards very efficiently by showing them just before you would forget. It is fully compatible with the spaced repetition software Anki (including synchronization), which is available for Windows/Mac/Linux/ChromeOS.

Study all sorts of things wherever and whenever you want. Make good use of idle times on bus trips, in supermarket queues or any other waiting situation!

Create your own flashcard decks or download free decks compiled for many languages and topics (more than 6000 available).

Add material through the desktop application Anki or directly through AnkiDroid. The application even supports adding material automatically from a dictionary!

★ Key features:
• supported flashcard contents: text, images, sounds, LaTeX & MathJax
• spaced repetition (supermemo 2 algorithm)
• text-to-speech integration
• check your pronunciation
• more than 6000 premade decks
• progress widget
• detailed statistics
• syncing with AnkiWeb
• open source",https://github.com/ankidroid/Anki-Android/wiki/Google-Summer-of-Code,https://docs.google.com/document/d/1Va6IWEYcWTkK4KDtyoFxtOKzpdcYe54GdrVpuMcFvlI/edit?tab=t.0#heading=h.dzo0rbsbdvvi
AOSSIE,Australian Umbrella Org for Open-Source Projects,"python, javascript, android, flutter, Blockchain","web, machine learning, natural language processing, mobile, backend",https://www.aossie.org,"Australian Umbrella Org for Open-Source Projects
We are an Australian not-for-profit umbrella organization for open-source projects. We believe the open-source philosophy provides a resource-efficient channel to transfer knowledge and achieve innovation and education. In 2025, we will mentor contributors on the following projects: Agora (Scala, Javascript): a library of vote-counting algorithms for democratic elections. Mind the Word (Javascript, HTML, CSS): a browser extension that helps users to learn new languages. Crowd Alert (React-Native, Expo, Jest): a cross-platform mobile application that allows users to post and view incidents around them Carbon Footprint (Javascript, HTML, CSS): a browser extension that raises environmental awareness regarding C02 emissions. Starcross (iOS, C++, OpenGL, Objective-C): Starcross is a hand-held planetarium for your iOS device. Can be used to identify stars, planets, nebulae and more. Social Street Smart (Chrome Extension): Social Street Smart is a Chrome Extension that makes the Internet a more productive place for users. Using algorithms and artificial intelligence, the extension hopes to face the major problems of the modern Internet. Monumento(Mobile Application): to provide users with a unique experience of exploring and learning more about the various monumental structures all around the world within the app. We have a diverse group of mentors, including GSoC students from previous years who decided to become long-term contributors as well as academics with extensive experience in supervising undergraduate, M.Sc. and PhD students on theses and projects, whose results are often published and presented in the most prestigious conferences of our research fields.",https://aossie.gitlab.io/pages/gsoc-details.html,https://aossie.org/ideas
Apache DataFusion,Foundational library for DBs and compute engines,"python, rust, sql, arrow","databases, big data, OLAP",https://datafusion.apache.org/,"Foundational library for DBs and compute engines
DataFusion is an extensible query engine written in Rust that uses Apache Arrow as its in-memory format. “Out of the box,” DataFusion offers SQL and Dataframe APIs, excellent performance, built-in support for CSV, Parquet, JSON, and Avro, extensive customization, and a great community. Python Bindings are also available. DataFusion features a full query planner, a columnar, streaming, multi-threaded, vectorized execution engine, and partitioned data sources. You can customize DataFusion at almost all points including additional data sources, query languages, functions, custom operators and more.",https://datafusion.apache.org/contributor-guide/gsoc_application_guidelines,https://datafusion.apache.org/contributor-guide/gsoc_project_ideas
"Apache Software Foundation
",Open source software to the public free of charge,"c, java, c++","big data, cloud, libraries, other",https://apache.org,"Open source software to the public free of charge
The Foundation provides an established framework for intellectual property and financial contributions that simultaneously limits contributors potential legal exposure. Through a collaborative and meritocratic development process, Apache projects deliver enterprise-grade, freely available software products that attract large communities of users. The pragmatic Apache License makes it easy for all users, commercial and individual, to deploy Apache products.",https://community.apache.org/gsoc/,https://cwiki.apache.org/confluence/display/COMDEV/GSoC+2025+Ideas+list
API Dash,Next-gen Open Source AI powered API DevTool,,,https://apidash.dev,"Next-gen Open Source AI powered API DevTool
API Dash is a beautiful open-source cross-platform (macOS, Windows, Linux, Android & iOS) API Client built using Flutter & powered by AI which can help you easily create & customize your HTTP & GraphQL API requests, visually inspect responses and generate API integration code.",https://github.com/foss42/apidash/discussions/564,https://github.com/foss42/apidash/discussions/565
